            Well Data Export    											
Project             :  GHANA_2003											
Cartographic System :  GHANA_UTM30N											
Depth Mode          :  MD											
Depth Unit          :  Common feet											
Distance Unit       :  meters											
Format File         :  /apps/ow2003/dat/wlx/MKD_landmark.wlx											
Date                :  Mon Apr 26 14:01:09 2004											
											
											
**** COMPANY     : PHILLIPS OIL COMPANY                                         											
**** WELL        : Tano South 1S 3AX                       											
**** FIELD       : SOUTH TANO                              											
**** COUNTY      : UNKNOWN                                 											
**** STATE       : UNKNOWN                                 											
**** COUNTRY     : GHANA                                   											
**** UWI NUMBER  : 100000057802                            											
**** DEPTH RANGE :   420.000   -  9030.000 @ 2.000 /											
(20F10.3)         											
2											
DEPTH	CALI	GR	ILD	ITT	LLD	LLS	MSFL	NPHI	RHOB	SFL	SP
											
m	inches	API	ohm.m	ms	ohm.m	ohm.m	ohm.m	v/v	decima	g/cm3	
 											
128.016	-999.25	12.9371	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
128.1684	-999.25	14.5963	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
128.3208	-999.25	14.4346	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
128.4732	-999.25	13.8799	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
128.6256	-999.25	13.4092	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
128.778	-999.25	13.1229	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
128.9304	-999.25	12.9044	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
129.0828	-999.25	12.7769	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
129.2352	-999.25	12.7933	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
129.3876	-999.25	12.7783	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
129.54	-999.25	12.7166	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
129.6924	-999.25	12.4129	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
129.8448	-999.25	12.0068	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
